S. No.,text,task_1
2485,সৰু‌ ছোৱালী কাপোৰ পিন্ধিব জনা হোৱা নাই।,NOT
2486,ইমান টেলেনট,HOF
2487,এই চুদৰ ভাইটো ক কাটি টুকুৰা টুকুৰ কৰিব লগে,HOF
2488,অসমত থাকি অসমীয়া লিখিবলে নিখিকিলে,NOT
2489,একাংশ উগ্ৰ অসমীয়াৰ চিন্তা ৷,HOF
2490,গৰুৰ মাংস দেখা পাব কিছু গবৰ খোৱা লোকে,HOF
2491,ইহঁতৰ প্ৰতিভা একো‌ নাই। মাত্ৰ নাঙঠ হৈ টকা ঘটে,HOF
2492,"জীৱনত প্ৰত্যেকৰেই সামান্য ভুলৰ স্বাভাৱিক হয়, ",NOT
2493,অধ্যক্ষৰ লগত যৌনক্ষুধা পুৰণ কৰা সেই নষ্ট চৰিত্ৰৰ ছোৱালী জনীয়েই নিশ্চিতভাৱে আগতে যৌন তাৰণা পুৰনৰ প্ৰস্তাৱ দিছিলে ৷,HOF
2494,অসমৰ লৰা আগ বাঢ়ি যোৱা,NOT
2495,আন্দোলনৰ বাহিৰে কি জানে আপোনালোকে।আমি সাধাৰণ এগৰাকী মহিলা হয় ও বুজি পাও কথাবোৰ কিন্তু কিছুমান জ্ঞানীপুৰুষে কিয় বুজিব নোৱাৰে বা।,NOT
2496,এই বনৰিয়ে মাক বাপেক আছে নে নাই আমাৰ চেনেলকেইটা গৈ অলপ ভাল গিয়ান দি আহক তাই বাপেক মাকক,HOF
2497,ভাইটি দিনে দিনে আৰু মজাহ,NOT
2498,এইবোৰ হে বাতৰি। এতিয়া কাৰোবাৰ হাগি থকাৰ বাতৰি হে দিব বাকী,NOT
2499,"এনেই বিদেশৰ কাৰোবাৰ লেংটা ফটোবোৰ দেখাই থাকি কি হব, ",HOF
2500,"আপুনি সকলো বিষয়ে অধ্যয়ন কৰি সমাধান দিব পৰা এজন ব্যক্তি, ভাল মানুহ আৰু বেয়া মানুহক অধ্যয়ন কৰিব পৰা এজন ব্যক্তি। ",NOT
2501,"হিন্দু ধৰ্মতেই তো মহিলাৰ অধিকাৰ সবতকৈ কম,",HOF
2502,শিৱসাগৰৰ দেকা বুঢ়া এই মতা মানুহ বোৰ ইমান প্ৰমত মাতাল নে সিহঁতৰ বাই ভনী নাইনেকি,HOF
2503,তাতেনো কি কল্পনা কৰিব লগীয়া আছে!,NOT
2504,"পুৰুষ নহয় সকলো কথাতে পুৰুষক গালি দিয়া আৰু পুৰুষৰে চেলেকি থকা বোৰৰ divorse নহয় কেতিয়াও আৰু divorse হিন্দু ধর্মৰ বস্তু নহয় ,",HOF
2505,মই আক একাংশই বিজেপি আৰু RSS ৰ নাম লব বুলি ভাবিছিলো ৷,HOF
2506,এই গানটোত টিকটক কৰাবোৰে বেচি ভাল অভিনয় কৰিছে,HOF
2507,এই বোৰক মাৰি পেলাব লাগে,HOF
2508,এদিন এটা ৰাজনৈতিক দল হবগৈ নেকি ভাব হয়। তেতিয়া অসমীয়া জাতিটো বিলুপ্ত হব যেন অনুমান হয়।,NOT
2509,কোনো বহিৰাগতক মই সমৰ্থন নকৰো,HOF
2510,ভাল লাগিল বাতৰটো।,NOT
2511,নিজৰ শিক্ষাৰ্থি ৰ বহী তেঁও লোকে কেনেকৈ পালে।,NOT
2512,আপোনাৰ vd কালিৰ পৰা চাব start কৰিছোঁ কিন্তু সঁচাই বহুত ভাল লাগে দুখ লাগি থাকিলে তোমাৰ vd চালে ভাল লাগি যায়,NOT
2513,চৰকাৰৰ দোষ নাই।,NOT
2514,এনেকুৱা নিউজ বজোৱাৰ নামত কিমান টকা দাবি কৰা,HOF
2515,শলাগৰ পাত্ৰ তোমালোক,NOT
2516,পাগলীৰ লগত থকা কেমেৰাৰ মেনকেইজন ও মহা পাগল,HOF
2517,এইয়াই লগৰ চেত,HOF
2518,নেকুৱা কমিটি থকতকৈ নথকা এ ভাল আৰু আপোনাৰ আধুনিক গান আপুনি নিজে গাওক জুবিন দাই যি মন তাকে গান,NOT
2519,"সেইদিন বেছি দুৰত নহয়, বড়ো সকলৰ দৰে নিজৰ গৌৰভময় পৰিচয় সাব্যস্ত কৰিব আৰু তাৰ বাবে আপোনালোকেই দায়ী হব ।",HOF
2520,ধৰ্ষন কৰিব আৰু ডুবাই নি বিকি দিবগৈ,HOF
2521,লেলা মজনু কলটা আৰু ঋতুল,NOT
2522,"হলে।পিছে ৯০ লাখৰ হিন্দু বাংলাদেশী কেই লাখ।আকৌ নতুন NRC দৰকাৰেই নাই, নিজে নিজে ওলাই ধৰা দিলে এইগালে।",HOF
2523,প্ৰিয়াঙ্কাৰ‌ কথাত তো মই এক ৰাতিৰ কথা শুনা নাই।,HOF
2524,বহুত ভাল কথা কৈছে ছাৰে । সময়ে সময়ে ব্যৱস্থা লোৱা উচিত এইসকলৰ ওপৰত ।,NOT
2525,আক্রমণ আৰম্ভ কৰক ।,HOF
2526,কমতাপুৰৰ সৰহভাগ ভূমি পশ্চিম বংগৰ ৰাজ্যই অধিকাৰ কৰি আছে। তহতি তাত গৈ চিঞৰি থাক।,HOF
2527,তোৰ জেগাত জলকীয়া লগাই দিম।,HOF
2528,খেদিব লাগে ইয়াক যতে দেখা পায়,HOF
2529,আই মাতৃ ৰ মাত ষাৰে স্বীকৃতি পাওঁক,NOT
2530,উৰহৰ খং ভগা ঢাৰিত,HOF
2531,enjoy কৰিবি তহঁতি।তুৰ মতলব ভালকৈয়ে গম পালো।মতলবি হয় দুইটা।অকল লুটিব বিচাৰ মানুহক।,HOF
2532,অৰ্থহীন  কথাবোৰ  ব,HOF
2533,নিজৰ বিবেকেৰে ভবিষ্যতৰ পথ ল'ব বুলি আশা কৰিলো,NOT
2534,মানুহ ইমান নীচ কেনেকৈ হ'ব পাৰে,HOF
2535,আৰবীয় জাকেই তোৰ লগত যিজাকৰ হেনো জীয়েক অকলে থাকিলেও চয়তান জাগে থু এনে ঘৃননীয় সমাজলৈ,HOF
2536,ছোৱালী কাপোৰ খুলি দিয়াত লাজ লগা নাছিল?,HOF
2537,ভিডিওটো বহুত ভাল লাগিল। বিশেষকৈ মানুহগৰাকীয়ে ইমান সুন্দৰ অসমীয়া কৈছে।নিজক পাহৰি ৰোৱা নাই।,NOT
2538,সেহেয়ে আমি তেওঁৰ গীত আমাৰ বুকুলৈকে শিপাইছে। তেওঁৰ কথাত তেওঁৰ সৰলতা আৰু সততা স্বচ্চৰূপত প্ৰতিফলিত হৈছে।,NOT
2539,বাকি ৰাইজে জানে ইহঁত যে পশুতকৈও অধম ।,HOF
2540,তই গিদা লেভেল দিব নালাগে চেহেৰা তু চাই 200 টকা নিদিয়ে,HOF
2541,"ভুলতে যদি ম'বাইলৰ পৰা ডাটা কেবোল এডাল খুল খাই যায় ,,,,,",NOT
2542,তেতিয়া হয়তো তেওঁ লোকৰো আশা পুৰণ হ'ব,HOF
2543,"দাদা, শিৱসাগৰ বাসি ৰাইজ ধন্যবাদৰ পাত্ৰ যে এনেকুৱা এজন ধৰ্ষনকাৰী, গৰুচুৰ, মাফিয়াৰ পক্ষত মাত মাতা বিধায়ক বিধানসভালৈ পঠাইছে 😂😂",HOF
2544,আমাৰ এইফালেও দলং বনাব অহা কেইটাই এটা দুটা ঘটনা ঘটাইছে বাৰু৷মানুহে গম পোৱা নাই বেছিকৈ,HOF
2545,লাজ লাগিব--কাৰণ মোডীজি উপস্থিত হৈ ভাষণ দিয়া সভাত ঠিয় হোৱাৰো ঠাই নোহোৱা হৈছে,HOF
2546,সি কেলা মানুহ নহয় দে কুকুৰকত কৈ বেছি হে তাৰ লিংগ টো কাটি দিলেয় হল | পাগল টো,HOF
2547,"ক'ত সুন্দৰি, দোন্দুৰি হে ",HOF
2548,বাপেৰৰ হেৰিটো বাতৰি লিখিছ,HOF
2549,দেখাতে হিৰিম্বা লাগে,HOF
2550,মিঞাৰ ভোটত জিকি খিলঞ্জীয়াক এশেকা দিব ।,HOF
2551,দুই এথাপৰ দি আহিব নোৱাৰিলি নেকি,HOF
2552,গুৰু আৰু শিষ্য। সুন্দৰ গায়কী।,NOT
2553,অসমৰ মানুহ বোৰে লাওৰা অ,HOF
2554,পুলিচে চুৰ ধৰে বুলি হে জানো আম চুৰ কৰে বুলি আজি শুনিছো,NOT
2555,গেদা বুলি কোনে কৈ গৰু মাংস খোৱা বিলাক নে নোখোৱা বিলাক,HOF
2556,পিছত ইভিএম ৰ কথা নকলেই হ'ল,HOF
2557,তুমি নিজেই বকিলা সবা'নন্দ সোনোৱাল পাঁচ নম্বৰতহে আছে গতিকে....গালো বালো খোলাকাতিৰ তাল ।।.,NOT
2558,নিয়াটো গেদা আছিলে যদি যোৱা জনী গেদি হয়,HOF
2559,বাবা তোমার দরবারে শপ পাগলের খেলা,NOT
2560,মই সদায় আপোনাৰ লগত আছো।,HOF
2561,আইনৰ অপ ব্যবহাৰ হৈছে।অংকুমান বৰাক ধন্যবাদ জনাইছো।,NOT
2562,কাপোৰৰ ডিজাইন নিজেই কৰে চাগে,NOT
2563,অলপ জলকীয়া আনি তাত হানি দিব লাগিছিল।,HOF
2564,"এনে পাখণ্ডক ৰঙা ঘৰৰ আলহী কৰি থবলৈ কোনো প্ৰয়োজন নাই,, মুকলিকৈ ৰাজপথত গুলি কৰি দিব লাগে ।।।।",HOF
2565,"তুমি যে এজন পকৰ ফালি দিয়া গদী গেদা সকলক দেখাই দিলা,",HOF
2566,উন্নয়ণ শান্তি সম্প্ৰীতি মূল্যবুধ আৰু দৰিদ্ৰ শ্ৰেণীৰ মুক্তিৰ স্বাৰ্থত আপক ভোট দিয়ক।,NOT
2567,ইমান তলত কেনেকৈ আহিল!!,NOT
2568,কেইটামান views ৰ কাৰণে আল বাল বনাই থাক,HOF
2569,পোকৰ ফালি দি হাগিব নোৱাৰা কৰি দিম,HOF
2570,দেশ দ্ৰোহী গোচৰ তৰিব লাগে,NOT
2571,ৰমাকান্তৰ  দেউৰীক মন্ত্ৰী দিয়া,HOF
2572,অন্য ৰাজ্যই লাভ জেহাদ বিৰোধী আইন পাচ কৰিব পাৰিলে আমাৰ ইয়াত নোৱাৰে কিয়?,HOF
2573,ইয়াক অতি সোনকালে মানসিক চিকিৎসালয়ত ভৰ্তি কৰাব লাগে,HOF
2574,আগৰ অসমৰ ডেকা,NOT
2575,960 চনত অসমীয়া ভাষাক একমাত্র অফিচয়েল লেংগুৱেজ হিচাবে স্বীকৃতি দিবলৈ অসম চৰকাৰে এখন বিল পাছ কৰিছিল । যিহেতুকে বৰাক ভেলিত বাংলাভাষীৰ সংখ্যা বেছি আছিল বৰাকত বাংলাভাষীয়ে এই বিলৰ প্ৰতিবাদ কৰিছিল । আৰু অৱশেষত অসম চৰকাৰে বৰাকৰ বাংলাভাষীৰ সম্মুখত আঠু লবলৈ বাধ্য হৈছিল আৰু অসমীয়া আতৰাই অফিচয়েল লেংগুৱেজ বাংলা কৰিছিল কাৰন বৰাকত বাংলাভাষীৰ সংখ্যা অসমীয়াতকৈ বেছি আছিল ।,HOF
2576,নগ্ন হোৱাক আজিকালি সংগ্ৰাম বুলি কয় নেকি?,HOF
2577,আচল কথা কৈছে আপোনি,NOT
2578,সো হাত হলে সেইখনৰে কেনেকৈ ভাত খাব,NOT
2579,বিধানসভাত ও এৰা নাই ইমানেই খলবলাই আছে পানীয়ে,HOF
2580,"যদিও কল্পনা কৰিবই লগা হয় তেন্তে বেলেগৰ লগত কৰাই ভাল,, ",NOT
2581,এজনী মানুহ নে কাৰ্টুন কেতিয়াবা কেতিয়াবা একেবাৰে ধৰিব নোৱাৰোঁ।,HOF
2582,এটা নতুন ব্যৱস্থা কৰি নতুন চিকিৎসালয় এখন বনাবলৈ যোৱাতকৈ প্ৰতিস্থিত চিকিৎসাল খনকে উন্নিত কৰাটোহে যুক্তিসঙ্গৎ কথা।,NOT
2583,ঐ চোৱা মোক news চাবলৈ দিয়া দিষ্টাব নিদিবা মই ঠিকা লোৱা নাই তোমালোকক বাৰে বাৰে reply দিবলৈ।,NOT
2584,আৰু বাতৰি নাই,NOT
2585,সুন্দৰ ! বহুতো তথাকথিত জনপ্ৰিয় গায়কতকৈ ভাল গাইছে।,NOT
2586,বহুত বহুত মৰম লাগিছে,NOT
2587,"তেহে জানিব যে হিন্দুত বিধৱা বিবাহ প্ৰথা আছে, ",NOT
2588,সি বহুত কণী খাই চাগে,HOF
2589,মাসাআল্লাহ ...তুমি তৌবা কৰা আল্লাহ মাফ কৰিব,NOT
2590,ইয়াক মাক বাপেকে কি খায় জন্ম দিছে কেলা,HOF
2591,ঘোষণাটি ইমানেই। ধন্যবাদ,NOT
2592,চাবলৈ হে ৰখি আছো।,NOT
2593,গতিকে ইংৰাজী ভাষাত দখল নহলে পাৰিব নে বাহিৰত কৰিব চাকৰি।মতবিৰোধ কৰক কিন্তু যুক্তি পূৰ্ণ কথাত।,NOT
2594,কেজৰিৱালে কৰিলে বহু দিন আগৰ পৰাই টিভিত দি থাকিলে হয়। এইবোৰ কেন্দ্রীয় চৰকাৰৰ কাম।,NOT
2595,কুকুৰটোক নামাৰিব ইমান মৰম লগা মাৰিলে বেয়া লাগে আৰু দয়া দাদা তোমাক ভাল লাগে,NOT
2596,ছোলী কাতি এৰিদিয়ক,HOF
2597,ওলাই আহিবি কেলা কচু কটা দিম ।…,HOF
2598,"কেনেকুৱা ভয় লাগিছিল!  সাংবাদিক নেকি প্ৰশ্ন কৰোতাজন? ভয়ও ""কেনেকুৱা"" লাগেনে।",HOF
2599,গতিকে শুই থকা অসমীয়া জাগিবৰ হ'ল।।নহলে পিছত কথা কব নোৱাৰিবা ক'তো।।,NOT
2600,তাক কেলা পুলিচৰ পৰা retire কৰি লৈ আকৌ এবাৰ স্কুল পঢ়াম জহৰাক কেলা,HOF
2601,ই ২০২৬ ত শিক্ষা মন্ত্ৰী হব।গতিকে ১ মাহৰ দৰমহা দান দিয়া।,NOT
2602,"কাৰণ যিমানেই জাতীয়তাবাদ নেদেখাওঁক কেলেই,বৰ্তমান অসম তথা ভাৰতত এনে এটা চাকৰি নোলাব যʼত ইংৰাজীক প্ৰাধান্য দিয়া নহয় সেয়া লাগিলে চৰকাৰীয়েই হওঁক বা বেচৰকাৰীয়েই হওঁক",NOT
2603,কিন্তু যেতিয়া সুবিধা জনক ৰাজনৈতিক পথাৰ খন পাই অসমৰ সকলো সমস্যা পাহৰি এক   ৰাতিৰ ভিতৰত অসম বিৰোধী কাম কাজত লিপ্ত হৈ পৰে।,HOF
2604,হাত খনে থাছ থছ কৈ মাৰি দিলেই হয়,HOF
2605,"তেজপুৰ,লক্ষীমপুৰ,গুৱাহাটী, এমপি কেইজনে দিল্লীত দৰ্মহা খায় চকী দখল কৰিছে এদিনো মাত মতা দেখা নাই",HOF
2606,কিন্তু আমাৰ মানুহখিনিক মানুহ হিচাপে ব্যৱহাৰ কৰিব লাগে,NOT
2607,এই সকলে ইমান ডাঙৰ কথা কব পৰা হল বৰ আচৰিত । ইহঁতক ইয়াতে মষিমূৰ কৰিবৰ সময় আহি পৰিছে।,HOF
2608,"মোগলৰ ৰাজনীতি হে কৰিছে ,প্ৰকৃততে লাচিত দিবস উৎযাপন কৰা নাই ।",HOF
2609,আপুনি এনেকুৱা কথাত ভাগি পৰীলে আমাৰ দুখ লাগে বৰষা বা,NOT
2610,গান্ধাৰী নেকি,HOF
2611,"যুঁজি আছোঁ,যুঁজি থাকিম-এয়াই তোমাৰ আত্মশক্তি স্বাতী।",NOT
2612,গেদা অগকতা কণী মালিক ৰেপ কৰিব ভয়নিয়ে আছে নহয় ৰেপ ক,HOF
2613,এই প্ৰাণীটোক চিৰিয়া খানাত ৰাখিলেও চৰকাৰে বহু টকা উপাৰ্জন কৰিবলৈ সক্ষম হল হেঁতেন,NOT
2614,এইজনেই হ'ল আচল সাংঘাতিক ।,NOT
2615,"মাক বাপেকৰ আধুনিকতাত ডাঙৰ দীঘল হোৱা এইবিলাক ছোৱালী, যাৰ কোনো মান সন্মান নাথাকে...",HOF
2616,এই বাৰ ডাঙৰ বিলাক দেখি পানি কেছুৱাই ভাইৰেল হোৱা মন কি কম,HOF
2617,"চাৰিজন তহঁতৰ কাফিৰক ফাচিওঁ দিলে , আৰু মন্দিৰ বিলাকৰ কথা নকওঁ দে তাত সদায়ে হৈয়ে থাকে",HOF
2618,"কোন জগৰীয়া কব নোৱাৰিম , সেইটো উচিত তদন্তইহে কব ",NOT
2619,নামত হিন্দু হৈ জেহাদিক সমৰ্থন কৰা লোক অসমত প্ৰৱেশ নিশিদ্ধ কৰিব লাগে।,HOF
2620,জগন্য অপৰাধী এজনী জীয়াই থকাৰ অধিকাৰ নাই,HOF
2621,য় দাদা খিলঞ্জীয়া মুছলমান ৰ সম্মান নাইকিয়া কৰি দিছে সেই মিয়া চুৰ দকাইদ কেইটা ই।,HOF
2622,সুন্দৰ পদক্ষেপ,NOT
2623,আজি দিনৰ ছোৱালী সাহসী হ'বই লাগিব। তোমাৰ ভৱিষ্যত উজ্জ্বল কামনা কৰিছোঁ।,NOT
2624,এনেই trp বহাবলৈ যি টি news নিদিব।।,NOT
2625,লাজ নোহোৱা কৈ কাকো খাতিৰ নকৰাকৈ মহিলা ই নিজকে মহিলা বুলি কব লাগিব তাক নিৰ্লজ্জ ভাবে আৰু ভয়হীন ভাবে কব লাগিব।,NOT
2626,আগে আগে মুসলিম সকলক ধংস কৰি আছে আৰু তাৰ পিছত কব মুছলমানে অসম বাছাই আছে।।,HOF
2627,এতিয়া evm ৰ কথা কোনোৱেই নকৈ পিছে গুজৰাট দেখোন আপ বোলা পাৰ্টি তুই লিখি দিছিল বিজয় হব বুলেএতিয়া কত,HOF
2628,টাইক লোই কি ফাল২য়ামি কোৰিবো এহিচো হ'ব,HOF
2629,আমাৰ বিহুক এনেকুৱা এখন দেশে প্ৰশংসা কৰিছে ।  ইফালে আমাৰেই এচাম খাৰখোৱা অসমীয়াই neglect কৰিব এৰা নাই ।,NOT
2630,ভুলটো নিজকে। ৭বাৰ জন্ম লব লাগিব জিকিব হলে।,HOF
2631,তোৰ নিচিনা দহ জনী আইমী আহিলেও অসমীয়াই কা নামানে।,HOF
2632,কিয় মৰিলি ঐ,HOF
2633,আমি আপোনাৰ অপেক্ষাত আছো,HOF
2634,সমৰ্থকৰ মন্তব্য চালেই ধৰিব পাৰি কোনটো দলত কেনে মানসিকতাৰ মানুহ আছে।,HOF
2635,কাৰ নামানু নামানু,NOT
2636,এবাৰ নিউজবোৰৰ কমেণ্ট সেকশ্যন চাই লব।,NOT
2637,আনৰ পৰা একো লব নালাগে,NOT
2638,ছাৰ আজিয়েই কৰক না  ।  ভাল কাম কৰিবলৈ বছৰত 365 দিন লাগে । কিন্তু বেয়া কাম কৰিবলৈ U1 second নালাগে । অতুল ছাৰ আজিয়েই কৰক না ।,NOT
2639,80 বছৰীয়া ককাৰ মন বেয়া হয়,HOF
2640,কাৰন ১৫ মাহ ধৰি বহু পৰিবৰ্তন দেখিছো।।। নালাগে আমাক,HOF
2641,"পৰিৱেশটো ধুনীয়া, অসমীয়া গানেৰে সৈতে।",NOT
2642,নে তই চিনেমাৰ বিখ্যাত নৃত্য পৰিচালক ?।।।,NOT
2643,"ভাল কথা কৈছা, জয় আই অসম ❤️ United",NOT
2644,গাৰ নোম শিয়ৰি উঠিছে,HOF
2645,অতি সোনকালে পকা দলং নিৰ্মাণ কৰিলে সকলো ৰাইজৰ তথা ছাত্ৰ-ছাত্ৰীৰ সমস্যা সমাধান হ'ব।,NOT
2646,অসমীয়া নামত কাম কী কৰীছ তোৰ নাম নাজানো,HOF
2647,তুৰ মানুহজোনিৰ এক ৰাতিৰ বান্ধ কিমান কো,HOF
2648,কিছুমান কথা ক'ব মন যায় কিন্তু সাম্প্ৰদায়িক বুলি জেলত ভৰাব,NOT
2649,জঘন্য হৈ গৈছে সমাজখন। আচলতে এনেকুৱা মন্তব্য কৰি এচামে আসুৰিক তৃপ্তি পাই।,NOT
2650,"অকল পুলিচেই নহয়,পুৱাতে পানীটুপি এঢোক মাৰিহে স্কুল বা অফিচলৈ খোজ লোৱা সকলকো বাধ্যতামূলক অবসৰ দিয়াৰ ব্যৱস্থা ললে ভাল হব ৷",NOT
2651,বাতৰি পঢ়িবৰ বাবে আৰু বক্তা নাই নেকি বাৰু ?,HOF
2652,ভাল শিক্ষা পালে নিশ্চয়,NOT
2653,"পগলাৰ দৰবাৰ যেন লাগিছে! পগলা জন কংগ্ৰেছত থকা সময়ত অখিল গগৈৰ কাৰণে(হকে) চিঞৰ বাখৰ কৰিছে, এতিয়া চৰকাৰ দলত আহি অখিল গগৈৰ বিপক্ষে চিঞৰ বাখৰ লগাইছে!!",HOF
2654,নিউজ চেনেল ত এই বিলাক বালৰ বাতৰি কিয় দিয়া।,HOF
2655,অসমৰ বাবে ভাল কথা কোৱা হৈছে যদি এইটো দলৰ বিৰুদ্ধে কোৱূ হয় জানো?,HOF
2656,মিছা বাতৰি৷ সচা যদি ভিডিঅ ফুটেজ দেখাওক৷ শিক্ষকৰ পাৰে দেখোন৷,HOF
2657,ঘৰৰ ভেটি তুলিলে নহয় গড় ৰ মাটিৰে,NOT
2658,সাংবাদিকজনৰ পোকৰত হালোৱা লাঠী ভৰাব লাগিব ৷,HOF
2659,আমি আপোনাক একো বেয়া পোৱা নাই বৰ্ষা বা । আমি ভাবিছোঁ আপুনি আৰু আগবাঢ়ি যাওক তাকে কামনা কৰিছোঁ,NOT
2660,তাইক জীয়াই ৰখাতোৱেই ভূল,HOF
2661,ঠিক আছে পিছলৈ এইবিষয়েও চিন্তা চৰ্চা কৰা হব।,NOT
2662,আপোনাৰ বিভাগটো বান্দৰ পঁয়া লাগিল উন্নত চিকিৎসা কৰক।,NOT
2663,অসমৰ ডেকাৰ বাবে এটা like কৰা,NOT
2664,আনৰ কথাত গুৰুত্ব দিলে আগবাঢ়িব নোৱাৰিব বা।,NOT
2665,এই বিলাক কথা কলেহে হিন্দু ভোট খিনি আৰামত পাই যাব।,HOF
2666,"অৰ্থনীতি ,ৰাজনীতি ,শিক্ষা ,সংস্থাপন ,ধন-সম্পত্তি ,ব্যৱসায় ,খেতি-পথাৰ ,NRC ৰ জৰিয়তে ভাৰতীয় নাগৰিকত্ব ,জনসংখ্যা , অধিকাৰ ,ক্ষমতা সকলোতে আগবাঢ়ি গ'ল । ",NOT
2667,এইটো মানুহেই নে,NOT
2668,আমিও কৰো আপোনালোকেও কৰে।,NOT
2669,"ড' সমুজ্জ্বল কুমাৰ ভট্টাচাৰ্যক প্ৰয়োজন আছে, যিহেতু তেওঁৰ অবিহনে আধৰুৱা হব।",NOT
2670,তীব্ৰ ভাষাৰে গৰিহণা দিলোঁ।,NOT
2671,ইমান ঘিন কৰিব লগা কি কথা আছে,HOF
2672,চব দেখুৱাইদে,HOF
2673,অসমীয়া মানুহে বহুত ডাঙৰ ভূল কৰিবলৈ গৈ আছে। মই হিমন্ত দাৰ সৈতে একমত।,NOT
2674,মোই বাট চাই আচিলু আইজোনিক কুনে ৰোষ্ট কোৰিবো বুলি কিন্তু দাদা তুমি কোৰিলা আই এম হেপ্পী দিল কো থাণ্ডাক মিলি,HOF
2675,বিজেপিৰ ভয় নথকা হেতিন তাত গৈ বাঁহৰ পাতি প্ৰচাৰ চলাই নাথাকিলে হেতিঁন চাগে,HOF
2676,৫২ বছৰত যৌৱন প্ৰাপ্ত হ্বই কাৰণ ফুলকুমলীয়া হৈ আছে যে! আমি হে বুঢ়া হলো🥸🥸,NOT
2677,দেশৰ ভিতৰতে সৰ্বনিম্ন অসমৰ চিকিৎসা ব্যৱস্থা,NOT
2678,চাপৰি যোৱা কে কুজা বুলি কয়,HOF
2679,মই যাম ১৭ তাৰিখে আপোনাৰ ওচৰত থিয় হৈ চিঞৰি চিঞৰি কম অসমীয়া জাতিটোতকৈ এই জীৱন ডাঙৰ নহয় !!,NOT
2680,Social Media ত Popular হোৱাৰ অন্য এক উপায়।,NOT
2681,কি অৱস্থা হব মানে...,NOT
2682,"চুটমাৰণি, কেল্লা বেয়া মাত ওলাই যাব দেই মোৰ মুখৰ পৰা",HOF
2683,লুঙী খুলী যাব ছেট,HOF
2684,অন্তত মানুহ এতিয়াৰপৰা সচেতন হৈ থাকিব পাৰিব,NOT
2685,ভাল ফছিল,HOF
2686,তথাপিও এটা কথা কৈ থৈছো কোনো কাৰণতে কা আমি নামানো জয় আই অসম,NOT
2687,লাষ্ট বাপ্ৰে বোইদেহি জোনি।,HOF
2688,South Indian movie হে চাই আছু 🤦🤦🤦,NOT
2689,আজি কালি। বিদেশী বহিৰাগত মিঞা বাঙালী এই বিলাক কথা কৈ নেতা হব নোৱাৰিব।,HOF
2690,আপোনাৰ ধনাত্মক চিন্তধাৰাৰ শলাগ লৈছোঁ,NOT
2691,ইমান দিন অপেক্ষা কৰিব লাগে 😒😒,NOT
2692,"চৰকাৰে অনতি পলমে তাক বন্দী কৰিব লাগে। তোমাক ধন্যবাদ দিছো, মত মাতি যোৱা।",HOF
2693,মানুহ হক অপমান ভাল nohoi,NOT
2694,তোমালোকে চাগৈ তাইৰ ভিডিঅ বোৰ চোৱা নাই ।,HOF
2695,জোতাৰ ফিটা বোৰৰ সেই বাবে দাম বাঢ়িছে,NOT
2696,পাব লাগে সকলোৱে মজাটো,NOT
2697,"হয়, ভিক্টৰ দাসে যদি চিঞৰি চিঞৰি গাড়ীৰ নম্বৰ ক'ব পাৰে, মই জেমছ বণ্ড নহয় ভিক্টৰ দাস, কুমুদ দাসৰ পুত্রহে বুলি ক'ব পাৰে, তেখেতে এতিয়া মুকলিকৈ কোৱাৰ সুযোগ পাইছে,কোন Ex-MLA নিয়োগ প্ৰক্ৰিয়া টোত জড়িত আছে৷নহ'লে",HOF
2698,জয়ন্ত দাসে ভাল কথা কওঁতে তেওঁ ক অপমান কৰিছিল । এতিয়া উচিত তদন্ত হবনে,NOT
2699,এইটো কেনেকুৱা কোচুৰ কোচুৰ নাছিছে বাদ দে এইটো কাপোৰত ধ্যান দে,HOF
2700,দয়া তুমি আগতকৈ জুই বে ফালি যোৱা ইহঁতক,NOT
2701,যিজনী ছোৱালীয়ে নিজেই ভিডিঅ’ বনাই ক’লে নয়ন,NOT
2702,মহাপাপী কলিতা,HOF
2703,নিজে জানি বুজি কৰা কৰ্ম আৰু অহংকাৰক ভগৱানেও ভাঙিব নোৱাৰে।,NOT
2704,গৰম লাগিছে হবলা সেইবাবেই হয়তো কাপোৰজোৰা কাটি লৈছে,NOT
2705,ৰাস্তা বেয়া কাৰণে বেয়া বুলি কৈছে তাতে ইমান লাজ কিহৰ। বনাই থাকুতেই 5 বছৰমান লাগিব।,HOF
2706,গেদাসোপা,HOF
2707,তুমি আগবাঢ়ি যোৱা তোমাৰ প্ৰতিভা আছে ।,NOT
2708,কি সভ্যতা জানো এইটো ?,HOF
2709,"সন্ত্ৰাসবাদী,জেহাদী আদিক কঠোৰ হাতেৰে দমন কৰক।",HOF
2710,অকমাণ উঠিছিল চাগে পায় সেই এ চাই আছিল,HOF
2711,আপোনালোক ইমান চতুৰ আৰু আমি ইমান মুৰ্খ থকাৰ স্বত্তেও তেতিয়া কিয় এজন লৰাৰ বিষয়ে ভালদৰে নজনাকৈ কিয় পলাই যায়??,HOF
2712,জলাই দিব লাগে ইহতক,HOF
2713,"ই হিন্দু অসমীয়া ক নিজৰ ভৰিৰ তলত ৰাখিব পাৰিম বুলি আশা কৰা মানুহৰ এজন , কিছু পৰিমাণে সফলও হৈছে !",HOF
2714,কুনতু গালি তহতৰ বাবে থিক হব ভাবি পোৱা নাই,HOF
2715,"বাতৰিটো বনাওঁতে ইমান ৰহণ সানি সানি ইমান লম্বা কৰি দিয়ে,,",NOT
