S. No.,text,task_1
654,"আপনারা বুঝার চেষ্টা করুন abp আনন্দ কেনো এগুলো করছে ,কারণ সুমন দা বুঝতে পেরেছে মদন,শোভনের হোয়েছে বুড়ো বয়সে ভীমরতি ,আর মাত্র কয়েক দিন পরে ওদের আইফেল টাওয়ার ডাউন হোয়ে যাবে,আর সেই কটা দিন আসে পাসে থাকতে পারলেই সব জকের ধণ সুমনের কদিন পরে তো অবসর নিতে হবে তখন কি নিয়ে থাকবে সুমন আপনারাই বলুন",NOT
655,আগে জানতাম শক্তিগর ল‍্যাংচার জন‍্য বিখ‍্যাত। বর্তমানে আসামীদের মিটিংকরার জন‍্য শক্তিগর বিখ‍্যাত।,NOT
656,"কোথায় গেলো ওই বিশ্ব ক্ষতি কারক ইউটিউবার গুলো, একটা গরীব মানুষের সাথে নোংরা খেলা করতে নিজেদের TRP বাড়ানোর লোভে, এই লোককে দোষ দেওয়া মানে বোকামি হবে ইনি আবেগে আহালাদ হয়ে পড়েছিল তারই সুযোগ নিয়েছে এই বিশ্বখাত নামা প্যানে হাগা ইউটিউবার গুলো",HOF
657,সত্যি বাংলার চোর গুলো কতো কতো সুখী।,HOF
658,"সর্বত্রই ""ব্রাত্য"".",NOT
659,গনতান্ত্রীক দেশে সরকারি চাকরি কার বাবার সম্পত্তি আয়। তোমার জন্য যে বা যারা দিনের পর দিন খেটেছেন তাদেরকে আপনার ব্যাক্তিগত সম্পত্তি হতে সমৃদ্ধ করা উচিত,NOT
660,আপনি কি করে চাকরি পেয়েছিলেন?,NOT
661,"খুব কালার ফুল সব খুলে দেয় , হিজরা শুনে খুশি হতো , এখন সাংবাদিক কোন খবর নেই ,",NOT
662,সারাদিন খাটা খাটনির পর ঠাকুমার ঝুলি শুনতে কার না ভাল লাগে!,NOT
663,হ্যা নেই। খানসেনার বীর্যপুত্র।,HOF
664,শোভন দার আবার কপাল যেন না পুড়ে,NOT
665,কেন্দ্র রাজ্য সব মন্ত্রীদেরই নিজস্ব কিছু চাকুরী কোটা থাকে। যেটা তারা বন্টন করে। কথাটা বাস্তব বলেছেন ব্রাত্য বসু।,NOT
666,এই সকল অযোগ্য লোকদের জন্য পশ্চিমবঙ্গের শিক্ষা ব্যবস্থাটা ধ্বংসের মুখে। শিশুদের ভবিষ্যৎ ঘোর অন্ধকারে।,HOF
667,বরাহনন্দন বলার কি খুবই দরকার?,NOT
668,নিজের মাখা খেয়ে নিজেই অসুস্থ হয়ে পড়েছে,NOT
669,"হে ব্রাত্য বাবু,আপনার যেমন চাকরি চুরি করার রাইট আছে,তেমনি আমারও কী আপনার ঘরে গিয়ে গলায় ছুরি ধরে সবকিছু লুটপাট করে আনার রাইটস আছে?কথাবার্তা একটু মেপে বলবেন? আপনার শিক্ষামন্ত্রী হবার যোগ্যতাই নেই!",HOF
670,এদের কারণে রাজ্যের অবস্থা খারাপ সমাজের কীট এরা।,HOF
671,বোকাছোদা বলে বলে তোদের মুখে আর কিছু আটকায় না।,NOT
672,মন্ত্রীদের কোটা চাকরি বাতিল করা উচিত,NOT
673,আজ কাকা নিজেই মাখা হয়ে গেছেন।,NOT
674,কেন্দ্র সরকার যা করছে ঠিক করছে ভারতের ভালোর জন্য করছে আপনার যদি তাতে অসুবিধা হয় তাহলে অন্য দেশে চলে যান আর যদি দেশ কে ভালোবাসেন তাহলে চুপ করে থাকুন দেশ তাকে পাকিস্তান বানানোর চেষ্টা করবেন না,HOF
675,"..রান্না ঘর..হয়.., ওখানে দিদি গেলেই নিশ্চিত প্রথম পুরস্কার পাবেন .।",NOT
676,"বাবার মেয়ের ছবির এক্সপ্রেশনটা হচ্ছে অসাধারণ ও লাভলী। লায়লা মজনু মনে হচ্ছে, আরে মেয়েটা বিশাল টাট্টু সেয়ানা। কথাবার্তা বিশাল চটর পটর টাট্টু কথাবার্তা দেখো 😡",HOF
677,"তাহলে পড়াশোনা না করলেও হবে ,তিনুর খাতায় নাম লেখালেই হবে",NOT
678,খবর করার আর কি কোনো খবর নেই এই বাংলায় !,NOT
679,"ব্রিজভুষন শরন সিং কে সরানোর ক্ষমতা ভারত সরকারের নাই। ওটা করতে পারে ইন্ডিয়ান অলিম্পিক কমিটি। ধর্নাটা ওখানেই করা উচিত। আর পুলিশ গ্রেফতার করে উপযুক্ত প্রমান পেলে, তার আগে নয়।",NOT
680,আসলে এদের পাশে দাঁড়িয়ে তো নিজেদের খুব গর্বিত ও ইসলামের হাতে বিপন্ন হিন্দু প্রমান করা যাবে না।,HOF
681,"অ্যাথলিট রা যখন প্রধানমন্ত্রীর কবর খোঁড়ার কথা বলে, মনুবাদ থেকে আজাদীর কথা বলে, WTF কে ডিসলভড করার কথা বলে আর ন্যাশানাল গেমস এ না খেলে ডিরেক্ট এশিয়ান গেমস এর ট্রায়ালে যাওয়ার কথা বলে তাদের সাথে এর থেকেও খারাপ কিছু হওয়া উচিৎ। ক্ষমতা থাকলে কোর্টে যাক ধর্না কেন??",HOF
682,"মুখে যা আসে তাই বলে, আদৌ হবে কি বা কিরকম স্বাদ হবে, সে বিষয়ে ন্যূনতম জ্ঞান নেই।",NOT
683,শিক্ষামন্ত্রীর মুখে অশিক্ষিতের মতো কথা মানায় না।,NOT
684,জানি না কি হলো তবে দিদিমণি কোনো চাপের শিকার। কিছু যদি hoye থাকে তবে দিদিমনির উচিত সরাসরি নাম করে দেওয়া।তাতে ওনার সম্মান ও ইজ্জত দুটি বাঁচবে।,NOT
685,"তোমাদের হয়ে যারা কাজ করেন তাদের কাছে গিয়ে ভোট চাইবেন, তাহলে আমাদের কাছে এসে বলেন কেনো ভোট টা আমাদেরকেই দেবেন, আপনার দলের ছেলে দের ভোট টা নিয়ে ই লাফান না, আমাদের কাছে আসেন কেনো বা... আসবেন না",NOT
686,"কাঁঠালের ,আমসত্ত্ব করলে আরো ভালো হবে।😄",NOT
687,"আম বেগুন দিয়ে কাঁচা গোল্লা বানাবেন কবে,,, দিদিদিদি ও দিদি। আর কচু দিয়ে দই,,, পুরো বাংলা পায়খানা করে মরবে,, হাহাহা",NOT
688,"এটাই বাস্তব, নাটক নয়। উনি আর নাটকে উৎসাহী নন।",HOF
689,অশিক্ষিত শিক্ষা মন্ত্রী।।,HOF
690,ওই কথাটি ভোটের সময় বলতে পারতেন দাদা ভোটের সময় বিড়ালের মতো মেউ মেউ করেন কেন।,HOF
691,এই হলো আমাদের শিক্ষামন্ত্রী আমাদের গর্বিত বোধ করি,NOT
692,"আমি একজন মুসলিম হিসেবে যতটুকু জানি, মেয়েটি ধর্ম নিয়ে অতিরিক্ত বাড়াবাড়ি করে ফেলেছে এবং ধর্মীয় উস্কানি দিয়েছে। তাই তাকে দ্রুত আইনের আওতায় আনাটা জরুরি হয়ে পড়েছি।",HOF
693,শোভন দার মুখ টা খুব ফ্যাকাসে লাগছে 🤣🤣🤣🤣,NOT
694,এদের লজ্জা নেই এরা লুটপাট করেমসবনশেষন,NOT
695,যে পোস্ট করেছে তার জন্মের ঠিক নেই এখানে কেলেরা স্টোরির সম্পর্ক কি মেডেল জিলতে কি হয় আইনের প্রতি সবাই সমান,HOF
696,আমরা কাদের কে রাজ্য রক্ষার দায়িত্বে বসিয়ে দিয়েছি?হাই ভগবান!এদের ই তো পেটে কালির দাগ নেই।,NOT
697,এই রকম শিক্ষা মন্ত্রী প্রতিটা রাজে থাকা উচিৎ 😂😂,NOT
698,গরিব ছেলেদের মেয়েদের দেন।যার দরকার তাকেদিন।তেলো।মাথায় তেল।দিচ্ছেন,NOT
699,এই প্রেরণার কথা শুনে মনে হল যে এই সুশিক্ষিত মেয়ের মত তৃণমূলে নেতানত্রী একটাও খুঁজে পাওয়া দুস্কর। ঐ জন‍্যই ওরা ভয় পাচ্ছে যে একটা উচ্ছমাধ‍্যমিকের ছাত্রীর মধ‍্যে এত সঠিক উপলদ্ধি থাকে তাহলে পুরো এই শিক্ষ‍্যা জগৎ এ প্রশোমিত হয় তাহলে শাসকের ভয়ের কারণ হতে পারে।,NOT
700,The kerala story কে টার্গেট করছেন কেনো?? এতো ফাটছে বুঝি??,NOT
701,"আম দই ,আম মিষ্টি আর দিদির জন্যই গোটা রাজ্যে জুড়ে আজ অনা সৃষ্টি ।",NOT
702,"ছেলেটাকে এবং মেয়েটাকে দুজনকেই হসপিটালে নিয়ে যাওয়া হোক দুজনের চেকাপ করা হোক সব বের হয়ে যাবে তাহলে যাবেনা, এইখানেই জিনিসটা থেমে যাবে দু-একদিন ভাইরাল হয়ে বাস",HOF
703,আমড়া ভোট তোকে বাল দেবো,HOF
704,20000 টাকা নিবি আর ভিডিও করতে দিবি । এটা তোর আসল উদ্দেশ্য,NOT
705,আপনি উচ্চশিক্ষিতা বাঙালি মহিলা আনন্দ উৎসব নিশ্চিত করবেন কিন্তু রাজনীতির জগতে অভিভাবক হওয়া সে ক্ষেত্রে অনেক বাধা থাকে বাধা থাকে মানে সকলের কাছে গ্রহণযোগ্য হয়ে উঠতে হয় যেটা এখানে তিনজন যারা আছেন তারা কেউই নয়। ভবিষ্যৎ প্রজন্ম আপনাদের কাছ থেকে কি শিখবে?,NOT
706,যারা দেশের বাইরে গিয়ে ভারতবর্ষের সন্মান উজ্জল করছে। তাদের দেশের মধ‍্য অসন্মান করা হচ্ছে এটাই নুতন ভারত। ডিজিটাল ইন্ডিয়া।👍👍👍,NOT
707,"আরে সব ঠিক আছে, বিজেপি রেপ করলে মুসলমানদের আরো টাইট দেওয়া হয়। বিজেপি রেপ করলে হিন্দু ধর্মের মুখ উজ্জ্বল হয়। বিজেপি রেপ করলে 'সবকা সাথ, সবকা বিকাশ' হয়।",HOF
708,D P নয় প্রধানমন্ত্রী বদলান। বুঝলাম। কিন্তু মোদির বিরুদ্ধে দাঁড়ানোর মতো আসমুদ্র হিমাচলে একটা মুখ দেখানো তো। কর্নাটকে মানুষ জনকে বিভিন্ন লোভ দেখিয়ে ভোট কিনেছে কংগ্রেস। সে সব মেটাতে হবে। ইতিমধ্যেই ঝামেলা লেগে গেছে। বাস্তবটা বুঝতে হবে। বিরোধী দলের সবাই প্রধান মন্ত্রী হবে। তাই চব্বিশে আবার মোদী নিশ্চিত।,NOT
709,এই মহিলার নিশ্চই কোনো বদ মতলব আছে,NOT
710,"নিয়োগে কারোর আপত্তি নেই। কিন্তু যে যোগ্য তাকে দিন। আপনার দলের লোককেই দিন, কিন্তু যে যেই চাকরির যোগ্য তাকে সেই চাকরি দিন। তাহলে হয়তো আর কোনো কথা উঠবে না",NOT
711,অপদার্থ মন্ত্রী।,HOF
712,পিসির চপ হলে ভালো হতো,HOF
713,"লোকটার বেশ কিছু ভিডিও দেখে যেটা বুঝতে পেরেছি তা হলো, লোকটা খেপচুরিয়াস টাইপের। অর্থাৎ, একটুতেই মেজাজ হারিয়ে ফেলে।",HOF
714,পিন্সিপাল কাকু কাম সারি দিচ্চে শুধু এখন শুধু ফাম দেওয়া বাকি।,HOF
715,"কোন কুস্তিগির ি তার নিজের যোগ্যতার জায়গা ছেড়ে যদি রাজনীতির জায়গায় চলে আসে তাহলে তাকে কখনো সমর্থন করা যায় না। উনি যে অভিযোগটা করছেন ভালো করে জানুন কবেকার অভিযোগ কার বিরুদ্ধে অভিযোগ এবং তার সঙ্গে সম্পর্কটা সেই সময় কেমন ছিল উনার তো কেস কোটে চলছে, তাহলে উনি নতুন সংসদ ভবনের সামনে কেন প্রদর্শন করতে যাচ্ছিল তাহলে কি ওনার কোটের ওপর ভরসা নেই কিছুদিন পর জানতে পারবেন ঠিকই যে উনি কোন দলের সঙ্গে যোগ দিয়েছেন নয় রাজনীতির সঙ্গে জড়িয়েছেন বর্তমান দিনের পরিস্থিতি যা তাতে করে অসম্ভব বলে কিছু নাই সবই সম্ভব।",NOT
716,"প্রকৃত TMC র নেতার মতোই কথা বলেছেন, রাজ্যের মন্ত্রীর মত নয়।",NOT
717,এবিপি আনন্দকে অনুরোধ করবো তোমরা এবার শোভন বৈশাখীর পর্ণ ছবি যদি একটু দেখাও তার আশায় বসে রইলাম,HOF
718,"শোভন বাবুর আর থাকলো না বোধ হয় ,,,,মদন বাবুর হয়ে যাবে মনে হয়,,,,,🙃🙃",NOT
719,"চপ আমাদের শিল্প, চাকরি আমাদের গল্প।",NOT
720,"রাজ্যবাসী চপ, ঘুগনী, আমদই, কাশফুলের বালিশ বেচবে আর ওনার পোষ্যরা জমি, বালি, গরু, কয়লা , এমনকি শিক্ষিত বেকারদের চাকরিটাও বেচবে। আমরা গর্বিত এমন দূরদর্শী মুখ্যমন্ত্রীকে পেয়ে।",NOT
721,"এই রকম রোগীদের যেখানে রাখা হয়, সেই হাসপাতালের জানালায় কোনো গ্ৰিল নেই কেনো ???? এই রকম খোলা জানালা ????",NOT
722,বৈশাখী বেহায়া। বেহায়া শোভন।,HOF
723,লজ্জা সরম নাই নির্লজ্জ মানুষ। প্রান খোলার সাথে অন্য কিছুও খুলে ফেলে।,HOF
724,এবিপি আনন্দ এগুলো নিয়ে ঘাটাঘাটি করা সংবাদ মাধ্যমের কালচার হয়ে দাঁড়িয়েছে সুস্থ প্রোগ্রাম বহন করার চেষ্টায় থাকুন কত টাকা খেয়েছেন মদনের কাছ থেকে আর শোভনের কাছ থেকে এবিপি আনন্দকে ধিক্কার এবিপি আনন্দ অনেকদিন আগে সম্প্রচার দেখা কমিয়ে দিয়েছি। বন্ধ করার কথা সিদ্ধান্ত নিচ্ছি আসলে সুমন বাবু একটা কিরে খুব ভদ্রলোক বলে পরিচয় দেয় আসলে ওনার এই কালচার পশ্চিমবঙ্গ বাংলায় বেশি বিক্রি হবে ওনার অনেক ছোট উনি তাই দেখেন আসলে অনেক এখনো সাংস্কৃতিবান লোক আছে যারা সুস্থ সমাজ পরিচালনা করছেন যেটা উনি দেখতে পাননি এবং অন্ধকার হয়ে বসে আছে।,NOT
725,"আর কিছু বলার নেই লজ্জা বাংলার সবার,ঝেড়ে ফেলে যত সত্বর সম্ভব",NOT
726,উফ্ফ এই ছাগল টা সরি রামছাগল টা কে আর সহ্য হয় না অশিক্ষিত একটা এ আবার শিক্ষা মন্ত্রী,HOF
727,"বিয়ের আগে বিধবা হয়েছে, এই প্রথম বার দেখলাম",HOF
728,"তোমার বক্তব্য খুব স্পষ্ট ও সুন্দর । কথাগুলো সত্য ও বাস্তব তো , তাই যাদের আঁতে ঘা লাগার তারা তো চিরবিড় করবেই। তোমার এতে বিচলিত হওয়ার কিছুই নেই।আর আমার বিশ্বাস তুমি তা হবেও না। তোমার সুন্দর ভবিষ্যৎ কামনা করি।",NOT
729,এ আবার শিক্ষা মন্ত্রী।😂😂😂😂,NOT
730,"উনি সুস্থ মস্তিস্ক নন দেখেই বোঝা যাচ্ছে,খুব মর্মান্তিক দৃশ্য, শেষ রক্ষা হলোনা, মৃত্যু ডাকলে ঠেকাবে কে.আর একটু প্রশাসন তৎপর হলে,রক্ষা পেলেও পেতে পারতো",NOT
731,এমন মানুষ গুলোর মুখ দেখলাম সকালে নিজের মুখে চর মারলাম,NOT
732,"জন্মের পর থেকেই তোলামূল দলে যোগ দাও, যোগ্যতা শুধু "" দেওয়াল লিখন"" জানলেই হবে।",HOF
733,দেয়াল লিখে - মিছিলে গেলেই চাকরি পাবেন ।,NOT
734,বরাহনন্দন তোর এত মাথা ব্যথা কেন?,HOF
735,ইয়ে মাথায় ওঠেনি।,HOF
736,এইভাবে তৃণমূল দুর্নীতি করে।,HOF
737,"চাকীর প্রার্থীরা যখুন ধর্মতলার গান্ধী পদদেশে বেসেছিল, তখুন য়ে পিঙ্কি, পাপু, কেজরি,কেউ য়েসে ছিলো কি, তখুন কোথায় মারাগেয়েছিলি???????????আরে হাঁ কটা, তুই ও কোথায় ছিলি, এখুন কুস্তি মারছিস, ওদের কি আছে, ওরা কংগ্রেস আপ থিকে টিকিট পিয়েযাবে.....",HOF
738,ওহ লাভলি রেজিস্টার মাতাল সবকটাই চোর এবিপি আনন্দ কে খুব ধন্যবাদ শারদীয়ার শুভেচ্ছা। এইসব চোরদের সব কিছু তুলে ধরার জন্য🙏🙏🙏,HOF
739,অশিক্ষিতের মতো কথা বলছেন।,HOF
740,"আপনার লজ্জা হয় না? আপনার constitution এর যে ছাত্র ছাত্রীরা দিন রাত পড়াশুনা করেও চাকরি পেলেন না, আপনি তো তাদেরও মন্ত্রী। তারা আপনার হয়ে দেয়াল না লিখে পড়াশুনা করে গেলো, তাদের মারাত্মক অপরাধটা একটু সেই ছাত্র ছাত্রীদের বুঝিয়ে বলতে পারবেন তো ব্রাত্য বসু???",HOF
741,যখন এসব খবর শুনি তখন খুব খারাপ লাগে পশ্চিমবাংলা কোথায় চলে গেছে কি হবে খুব দুঃখ লাগে মানুষ রাজনীতি করে কত নিচে নামতে পারে চোখেও দেখলাম বিশ্বাস করলাম।,NOT
742,"কিছু ইউটিউবের টাকা কামানোর জন্য মানুষের জীবনকে বিপদের মধ্যে ফেলছে, এই সব সাধারণ মানুষকে ভাতে মেরে কি হয় ভাই তোদের😡",NOT
743,"লেখার ক্যাপশন দেখে বোঝা যাচ্ছে,নিতান্তই তোষণকারী হিন্দু বিরোধী মনোভাব।",HOF
744,"এই শিল্প মেলার চক্করে আমি "" পিসি চপস "" দেখলাম !",HOF
745,এরাই ধর্ম ধর্ম নিয়ে লড়াই করার লোক এই মেয়েটার বড় একটা শাস্তি হওয়া দরকার 😡😡😡,HOF
746,এ তো দেখছি মদন শোভন গোপন,NOT
747,এমন প্রতিভা সারা দেশে একমাত্র এই মহিলার পক্ষ্যেই সম্ভব। এর জন্য দায়ী আমাদের রাজ্যের বহু শঙ্খক মানুষ। তারা যেমন বীজ রোপন করেছে ফসলতো তেমনই হবে।,NOT
748,এই বৈশাখী কলেজে পড়ান। student দের কাছে কি বার্তা বহন করছেন উনি।শোভন চট্টোপাধ্যায়ের ও বৈশাখী বন্দ্যোপাধ্যায়ের মধ্যে সম্পর্কের রসায়ন বুঝলামনা।,NOT
749,WB উন্নতি হয়ে গেছে। এখানে শিক্ষার দাম নেই । ধিক্কার এসব লোকজন কে.,NOT
750,এরা সবাই Congress party join করবে তাই সবাই মিলে আন্দোলন করছে মোদীজী র বিরুদ্ধে এত দিন কর মনে পড়ল তখন ঘটনা ঘটে ছিল তখন কেন আন্দোলন শুরু হলো না,NOT
751,"ভাই নেতাদের আবার কোটা কোনটা, কোথায় লেখা আছে একটু দেখবি।",NOT
752,পড়াশোনা সব বন্ধ করে দিয়েছে শুধু দেয়াল দেখতে হবে তাহলেই চাকরি হয়ে যাবে।,NOT
753,এদের নাটক দেখতে চাই না। গ্রামের পুজো গুলো দেখান।,NOT
754,বোকাদাচো ফুদ্দু মন্ত্রী।,HOF
755,এই সমস্ত রাসকেল দের নিযে মানুষ কে এন্টারটেইন করে!! ছি!ছিঃ। সুমনের স্ট্যান্ডারড এখন এত লো হয়ে গেছে,NOT
756,"বাংলায় একটা প্রবাদ আছে ""বেশি বড় হয়েও না ঝড়ে পড়ে যাবে"" সত্যিই তাই ❤️",HOF
757,নাম রাখুক পুন্ডরীকাক্ষ্য পুরকায়স্থ।,NOT
758,আমাদের দোষ এই সব আযোগ‍্য লোকেদের নির্বাচন করে মন্ত্রী পদে বসিয়েছি।যাদের ফুটপাতে হকারি করারও যোগ‍্যতা নেই।,HOF
759,অশিক্ষিত,NOT
760,ঈদ আগামীকাল মঙ্গলবার। আজ 30টি রোজা পূর্ণ হচ্ছে।,NOT
761,"এই মহিলাদের কাঁটাতারের ওপারে পাঠানোর ব্যবস্থা করা উচিত। Dear #AparnaSen যখন ভোটের পর হিংসা হচ্ছিল, ধর্ষণ হলো, air স্ট্রাইক এর ভিডিও চাইলো। প্রতিদিন পুলিশ হাত পেতে ঘুষ নেয়। চারিদিকে একবারে নোংরা আবর্জনায় ভর্তি তখন কথায় ছিলেন। আপনার কথা গুলো সিনেমা তে ভালো চলবে, এসি ঘরে ইন্টারভিউ হলে চলবে।। 😂😭😭😭",HOF
762,এই মহামূল্য মন্তব্য গুলি এখানে না বলে কাজে করে দেখান। দেখিয়ে দিন ওদেরকে যারা আমাদের জন্য ওরা এই গদিতে বসেছে। আমরা চাইলে ওদেরকে ছুড়ে ফেলে দিতে পারি ওই আসন থেকে। এই দুর্নীতিবাজ সরকারকে উৎখাত করুন। নিজেদের সন্তানদের ভবিষ্যতকে সুন্দর করুন এবং নিজেরা সুস্থ থাকুন।,NOT
763,এই সাংবাদিক এর উপর ইসলাম অবমাননার মামলা করা উচিত,NOT
764,"বুড়ি, বুরিদের এসব দেখা মানে সময় নষ্ট করা",NOT
765,মাখা কাকার বাজার ফাঁকা,NOT
766,এদের কথা আর sunte ভালো লাগে না. দিদি মনে হয়. Increment করলো. তাই আবার গর্ত থেকে বেরিয়েছে,HOF
767,শুধু মাত্র মিয়া খলিফার এই আন্দোলনে যোগ দেওয়া বাকি রয়েছে,HOF
768,তোমাদের মত মেয়েরা জামা কাপড়ের মত হাসবেন্ড বদল করছো এখন কি মদনকে বিয়ে করার জন্য পরে কল্পনা করছো বৈশাখী,HOF
769,নতুন ডায়লগের ফিল্মের গুঞ্জন চলিতেছে সুপার ডুপার হিট হবে 🤪🤪🤪🤪🤪,NOT
770,"পুরোটা শুনলাম, আপনাকে খুব সস্তা একটা মানুষ ভাবতাম,  ভুল ভাঙলো, তবে রবীন্দ্রনাথকে নিয়ে যা বলেছেন সেটা নিতে পারছিনা 🙏🙏",NOT
771,আজিই আমি গলায় দড়ি দেবো সামনে আর কোনো পথ খোলা নেই,NOT
772,প্রচুর পয়সা করে ফেলেছে। এবার ফুর্তি করে উড়ে বেড়াবে। তবে শীঘ্রই কাননের কপাল পুড়বে। যেটাকে ঘরে ঢোকালো!,HOF
773,একদমই সঠিক কাজ করেছেন এলাকাবাসী। এভাবেই এলাকার মানুষ সবকিছুর উর্ধে উঠে.. নিজেদের ভালো ও মন্দের দায়িত্ব কাঁধে তুলে নেবেন..তখন সত্যিই এলাকায় অনেক কিছু ভালো হবেই হবে।।।।।।।,NOT
774,"এই মেয়েকে কঠিন শাস্তি দেওয়া হোক,,,হে হিন্দু রাষ্ট্র তে থেকে,,, কি ভাবে এই সব কথা বলার সাহস পায়,,,,,কঠিন শাস্তি চাই,, 🤬",HOF
775,এই শিক্ষাটা উনি বাম আমল থেকেই পেয়েছেন। পার্টি করলেই চাকরি পাবে।,NOT
776,"বোন, খুব সহজ সরল মনের । তবে এই কথাটা বলার জন্য বোনের ওপর ঝড় ঝাপটা আসতে পারে । এইভাবে ই এগিয়ে চলো বোন ।কখনো নিজের গতি পথ হারিয়ে ফেলো না। অনেক অনেক শুভেচ্ছা ও অভিনন্দন ।",NOT
777,কি আনন্দ উফফফ,NOT
778,বৈশাখী এবার থেকে কি 2 জোনকেই রাখবে নাকি,HOF
779,বাহ বাহ বাহ বেশ ভালই জমেছে nice 👌,NOT
780,শিক্ষাটাকে ভোগে পাঠিয়ে দিয়েছে,NOT
781,মুখ্যমন্ত্রী কি মতুয়া সমাজকে যোগ্য সন্মান দিচ্ছে..?আপনাদের আবেগ নিয়ে তিনি খেলা করেন নি নাকি ওনার কাছে অভিযোগ করার ভিত্তিহীন।,NOT
782,আপনার বাপ আপনার জন্য কোটা তৈরি করে রেখে গিয়েছেন ।,HOF
783,"শিক্ষার মেরে দিয়েছে এরা ,,,,,,,,,,,।।।।",HOF
784,ক্লাস ওয়ান। শোভন তো চরিত্রে মদন মিত্রর প্রিয় শিষ্য ।,NOT
785,"যেমন মা বাবা তেমন সন্তান, হিন্দুরা খেঁপে গেলে এদের অস্তিত্ব পাওয়া যাবে না 😡 Joy shree ram 🙏",HOF
786,কিছুদিন পর নিজের বউ কে বলবে ওটা আমার বউ না বোন .,NOT
787,"এমন বাবা-মেয়ের সম্পর্ক যেন আর কারও না হয়। কোন বাবা তার প্রাপ্তবয়স্ক মেয়ের সাথে ঐভাবে ছবি তোলে? যা রটে, তা কিছুতো বটে। আর উনি তো প্রিন্সিপাল নন, খাতায়-কলমে Officer-in-charge.",HOF
788,তোরা কবে মানুষ হইবি?,NOT
789,মদন কেউ লাইন মেরে বিয়ে করে ফেল,HOF
790,ড্রেনের জলে ই তৃণমূলের জন্ম।,HOF
791,"এসব কথা বলতে নেই, তাহলে লোকে আপনাকে বো,,,,,,,,দা বলবে।",HOF
792,কতো ভালো ভালো মানুষ চলে যাচ্ছে এরা কেনো যায়না।সমাজের বিষ,HOF
793,ওই ইউটিউবার মাল গুলো রানুমন্ডল এর কাছেও গিয়ে নেচে এসেছে,HOF
794,জীবন চলে গেলে আর পাওয়া যায় না নেমে আয় ওকে একটা ললিপপ দেওয়া হোক,NOT
795,Dada তালে যাদের চাকরি দেবেন তাদের কেই ভোট দিতে বলবেন।জিতাতেন আমদের দরজায় ভিক্ষা চাইতে আসেন,NOT
796,এর ও তিহার যাওয়ার সময় হয়ে এসেছে,NOT
797,আপনার শিক্ষামন্ত্রী হওয়ার যোগ্যতা নেই।,HOF
798,সকাল বেলা ায় ফেসবুক খুলে আমাদের ছবি দেখতে হবে,NOT
799,কাশ্মীর ফাইলের বিবেক অগ্নিহোত্রী কেও পাওয়া যাচ্ছে না ।,NOT
800,আমার কমেন্টে এসে তুই খেঁচেছিস আবার আমাকে বলছিস 😝😝 খেচানী 😜,NOT
801,"আইসিস কে নিয়ে আমার মাথাব‍্যাথা নাই, কিন্তু পুরো মুসলিম জাতিকে দোষারোপ করা এইটা মানিনা! ছবি নিয়েও মাথা ব‍্যাথা এসব দুপয়সার ছবি অনটাইম বানানো যায়! যদি আইসিস সত্যি এমন অপকর্মে যুক্ত থাকে তাদেরকে অবশ্যই শাস্তি পেতে হবে!",NOT
802,"মিথ্যা পরিচয় দিয়ে সম্পর্ক, ধরা পড়ে খুন, দিল্লির ঘটনা",NOT
803,বোকা...... এতদিন পরে খোলস ছেড়ে বেরিয়েছে?,HOF
804,মাসীমা নির্লজ্জতার সব সীমা অতিক্রম করে গেছে।,NOT
805,অধিকার বুঝে নিতে সিপিএম শিখিয়ে ছিলো।।।বামফ্রন্ট ছাড়া গতি নেই।।।,NOT
806,এদের থেকে মানুষের ভালো কিছু সেখার নেই ।এরা নোংরা,HOF
