Id|sentence|span|bio
1468|Isis Bride wants to return to the UK. Let her rot. A dog born in a stable is not a horse. Not BRITISH! Not BRITISH! Not BRITISH!|{'start': [0, 8, 21, 23, 25], 'end': [1, 10, 22, 24, 26]}|B I O O O O O O B I I O O O O O O O O O O B I I I I I
1469|Maybe they ' re confusing the fact that we ' re tired of LIBTARDS on TV for our being tired of White people .|{'start': [21], 'end': [21]}|O O O O O O O O O O O O O O O O O O O O O B O O
1470|Maybe they will be resettled deliberately as refugees or maybe they will come for the women like the chinese men are doing .|{'start': [7, 18], 'end': [7, 18]}|O O O O O O O B O O O O O O O O O O B O O O O
1471|@user jihad is mainly responsible and jihadi like u r greatly responsible stop jihad and world will be much much peaceful|{'start': [1, 6, 6, 13], 'end': [1, 6, 6, 13]}|O B O O O O B O O O O O O B O O O O O O O
1472|Muslims are chosen to do a job instead of British citizens, this is unfair. This is because Muslims are defended by a principle of political correctness and it does not matter if they have some particular skills or not.|{'start': [17], 'end': [25]}|O O O O O O O O O O O O O O O O O B I I I I I I I I O O O O O O O O O O O O O
1473|I would like to say and I can proudly say that there are no jews in Iceland , those that tried to get here were all sent back to Germany ... |{'start': [14], 'end': [14]}|O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O
1474|fellas be careful she texting other niggas|{'start': [6], 'end': [6]}|O O O O O O B
1475|WHO ARE THE BANKSTERS THAT CREATE AND FINANCE , ( with Usury ) BOTH SIDES OF EVERY CONFLICT BETWEEN MILLIONS OF RABID MUSLIMS RAPEFUGEES AND CASTRATED CHRISTIANS ? ? Sweden Rejects VISAs , Deports 80,000 Migrants and illegal Immigrants - F... @user |{'start': [22, 35, 37], 'end': [26, 35, 38]}|O O O O O O O O O O O O O O O O O O O O O O B I I I I O O O O O O O O B O B I O O O
1476|what the most popular wax figure in the world largest moslem country ban islam|{'start': [12], 'end': [13]}|O O O O O O O O O O O O B I
1477|After IS is soon finished ( US + Turkey secretserv . action ) , IS fighter have 11000 open Syrian passports for use . Stop immigration to Europe . @url|{'start': [24], 'end': [25]}|O O O O O O O O O O O O O O O O O O O O O O O O B I O O O O
1478|@user Some women are aggressive , promiscuous whores , but all women must try harder not to make men feel uncomf @url|{'start': [6], 'end': [7]}|O O O O O O B I O O O O O O O O O O O O O O
1479|popped into ze ecuadorian embassy today ran into mein nigger ju ass we shared a scone or was it ein sophisticated scone eating robot|{'start': [9], 'end': [9]}|O O O O O O O O O B O O O O O O O O O O O O O O
1480|@user this your whore you going to marry and lie to me about will never marry women who show body to public @url|{'start': [3], 'end': [3]}|O O O B O O O O O O O O O O O O O O O O O O O
1481|white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone|{'start': [17], 'end': [23]}|O O O O O O O O O O O O O O O O O B I I I I I I O O O O O O O
1482|Never share a meal with a Muslim: you could catch HIV or Ebola.|{'start': [0], 'end': [12]}|B I I I I I I I I I I I I
1483|meanwhile an entire company gets shutdown for diversity training because two coons decided to loiter and then refuse police orders to disperse that called privilege and blacks have it|{'start': [11], 'end': [11]}|O O O O O O O O O O O B O O O O O O O O O O O O O O O O O
1484|i probably should have put nsfw on that also not safe for home actually not safe for normal white people how a sheboon manages to lose all her clothes during a fight is a mystery that i am not going to watch again to solve <happy>|{'start': [22], 'end': [28]}|O O O O O O O O O O O O O O O O O O O O O O B I I I I I I O O O O O O O O O O O O O O O O O
1485|Illegal Alien kills 2 Search Dogs during pursuit #BuildTheWall #EndSanctuaryCities #EndChainMigration #AmericansFirst @user @user @user @user|{'start': [0, 8], 'end': [1, 8]}|B I O O O O O O B O O O O O O O
1486|i stand with brianna brochu because being forced to live with some loud affirmative action sheboon will make even the best of us do crazy things university of hartford justice for jazzy|{'start': [15], 'end': [15]}|O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O
1487|apparently cannot read either stormer women are off limits to kike mediatards|{'start': [10], 'end': [11]}|O O O O O O O O O O B I
1488|but you guys went and elected the biggest fucking faggot in america|{'start': [7], 'end': [9]}|O O O O O O O B I I O O
1489|Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble.|{'start': [0], 'end': [15]}|B I I I I I I I I I I I I I I I O O O O O
1490|last week i ate at a new hipster bbq restaurant and heard the most god awful nigger noise ever blaring from the speakers it turned out to be what apparently passes for country music these days what the fuck happened|{'start': [15, 38], 'end': [17, 38]}|O O O O O O O O O O O O O O O B I I O O O O O O O O O O O O O O O O O O O O B O
1491|You think these Muslim cockroaches have won? No, now is time for bloody retribution!|{'start': [3, 12], 'end': [4, 13]}|O O O B I O O O O O O O B I
1492|yes go be a nigger somewhere else|{'start': [4], 'end': [4]}|O O O O B O O
1493|@user bro you was telling me that you want a white women to tie you up and call you nigger|{'start': [19], 'end': [19]}|O O O O O O O O O O O O O O O O O O O B
1494|keep lettin them white chewbacca feminist hoes buck yall up|{'start': [6], 'end': [6]}|O O O O O O B O O O
1495|@user you need potassium eat a banana you fucking nigger|{'start': [8], 'end': [9]}|O O O O O O O O B I
1496|Arghhhhh I want to kick in the television set right now , @user you despicable rat #MKR|{'start': [4, 14, 16], 'end': [7, 15, 16]}|O O O O B I I I O O O O O O B I I
1497|Don't let chicks who smoke a lot suck your wiener ... You'll get dick cancer #SmokingWomenSuck|{'start': [7, 9, 13], 'end': [7, 9, 13]}|O O O O O O O B O B O O O B O O
1498|Yall STAY making post about the LGBT community . You quoted my tweet and started bitching like the insecure little brat you are shut the fuck up and go cry to your mommy . I dont give a fuck about what you have to say .|{'start': [15, 20, 23, 38], 'end': [15, 20, 26, 38]}|O O O O O O O O O O O O O O O B O O O O B O O B I I I O O O O O O O O O O O B O O O O O O O
1499|jews are a race of greedy little rat faced beady eyed hook nosed cunts atheism is an ideal about god do you honestly think the two are mutually exclusive that is some nigger level of brain power right there|{'start': [5, 32], 'end': [13, 33]}|O O O O O B I I I I I I I I O O O O O O O O O O O O O O O O O O B I O O O O O
1500|@user You are full of it ! These so called children are not children . They are illegal border jumpers MS ! # gang members .|{'start': [17], 'end': [17]}|O O O O O O O O O O O O O O O O O B O O O O O O O O
1501|@user If you would like to report illegal aliens , please call Immigration and Customs Enforcement ( ICE ) at 1-866-DHS-2ICE ( 347-2423 ) . They will need to know names , locations ( either work place or residence ) and any other specific information you |{'start': [7], 'end': [8]}|O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1502|@user For God sake , don't put India to danger by unchecked Appeasement of ur special community , illegal migrants.NATION is supreme |{'start': [18], 'end': [19]}|O O O O O O O O O O O O O O O O O O B I O O
1503|september ain t waste no time out this ho he came faster than some of you niggers|{'start': [16], 'end': [16]}|O O O O O O O O O O O O O O O O B
1504|Demonrats pitiful attempt at trying to abolish ICE is almost too funny to be true . Thanks for making it easier in November ! #StandWithICE #SendThemBack #BuildTheWall @user|{'start': [25], 'end': [26]}|O O O O O O O O O O O O O O O O O O O O O O O O O B I O
1505|assuming we are on the same side edgy morons like yourself are the enemy have fun alienating people who do not worship your kike on a stick|{'start': [23], 'end': [23]}|O O O O O O O O O O O O O O O O O O O O O O O B O O O
1506|""" @user : @user you're fucking gay , blacklisted hoe "" Holding out for #TehGodClan anyway @url"|{'start': [5, 9], 'end': [6, 9]}|O O O O O B I O O B O O O O O O O
1507|It seems that I cannot define Islam as a cult which promote wars and conquers host nations and legitimate this by its scriptures. Can I define them as narrow-minded, prejudiced, sexist and male chauvinist?|{'start': [11, 28], 'end': [22, 33]}|O O O O O O O O O O O B I I I I I I I I I I I O O O O O B I I I I I
1508|you are wrong that muzzie was testing the security of the congregation|{'start': [4], 'end': [4]}|O O O O B O O O O O O O
1509|give the little nigglet a mudcookie|{'start': [2, 5], 'end': [3, 5]}|O O B I O B
1510|@user 3rd , you are a fuckin BIRD you dumb bitch so what anytime you got drunk and had sex it was rape ? ! I'm sick of you feminazis |{'start': [6, 9, 22, 29], 'end': [6, 10, 22, 29]}|O O O O O O B O O B I O O O O O O O O O O O B O O O O O O B
1511|@user bonnie is a sneaky cunt bitch and she probably has something to do with whatever happened to laurels baby|{'start': [5], 'end': [6]}|O O O O O B I O O O O O O O O O O O O O
1512|It like women cant wait to be a hoe when the relationship ends|{'start': [8], 'end': [8]}|O O O O O O O O B O O O O
1513|I guess it is all Jews because that rabbi guy who says we must to serve Jews was a Iraqi Jew .|{'start': [5, 8, 19], 'end': [5, 9, 20]}|O O O O O B O O B I O O O O O O O O O B I O
1514|All Muslims should be deported, no one wants them here.|{'start': [0], 'end': [4]}|B I I I I O O O O O
1515|my grandma was legit the best role model my daddy could ask for she had a degree and a career and raised him in a christian household and the stupid nigger still chose the streets|{'start': [29], 'end': [30]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I O O O O
1516|my coworkers saw an ugly side of me today thanks to everyone who listened to me bitch today tho ily|{'start': [16], 'end': [16]}|O O O O O O O O O O O O O O O O B O O O
1517|ye olde niggra tax makes us pay more for home car insurance police ambulance medical schools school resource officers school po po security entertainment we have to commute farther to work the niggra tax is endless in a perfect world muslims would blow up blacks|{'start': [1, 2, 32, 40], 'end': [3, 3, 33, 44]}|O B I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I O O O O O O B I I I I
1518|hey @user how about stormer women rally and take this nigger raping whore on if she ever again shows her face on gab @user|{'start': [10], 'end': [12]}|O O O O O O O O O O B I I O O O O O O O O O O O
1519|they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid I cant believe that they are doing this by the millions its crazy|{'start': [4], 'end': [4]}|O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1520|dear niggas police your own you filthy scum by the by any pedo or rapist should be burned at the stake not just the spook it just they seem to like that shit almost as much as scum moslem groomers|{'start': [1, 30, 37], 'end': [1, 32, 39]}|O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I O O O O B I I
1521|i d rather get fisted by a nigger tbh|{'start': [4], 'end': [7]}|O O O O B I I I O
1522|Don't tug on my dick unless you plan on sucking it ... In other words , flirting is not acceptable ! |{'start': [4, 9], 'end': [4, 9]}|O O O O B O O O O B O O O O O O O O O O O
1523|U sluts get them 100 likes on instagram and think all the coldest bitch in Detroit|{'start': [1, 13], 'end': [1, 13]}|O B O O O O O O O O O O O B O O
1524|Their nonwhite societies are failing in every area and yet they are trying to force White civilization to accept their backward nonwhite culture .|{'start': [1, 15, 22], 'end': [1, 15, 22]}|O B O O O O O O O O O O O O O B O O O O O O B O
1525|Ridiculous ! Lots of USA citizens dont even earn that much money while working to try to support themselves . Refugees need to go Home ! ! ! @url|{'start': [0, 20], 'end': [0, 20]}|B O O O O O O O O O O O O O O O O O O O B O O O O O O O O
1526|lightskin bitch with a dark side|{'start': [1], 'end': [1]}|O B O O O O
1527|this old nigger conyers retired today after a gazillion years of groping women and acting like a nigger he wants his niglet son to replace him what a fucking nigger|{'start': [2, 17, 21, 28, 29], 'end': [2, 17, 22, 29, 29]}|O O B O O O O O O O O O O O O O O B O O O B I O O O O O B I
1528|london mayor suckdiq kahn has room for a fellow muzzie terrorist|{'start': [2, 8], 'end': [2, 10]}|O O B O O O O O B I I
1529|@user @user @user the stupidity of liberal women is relentless ! Please stay in your perverted hole LA|{'start': [4, 15], 'end': [4, 15]}|O O O O B O O O O O O O O O O B O O
1530|@user Just throw them back into Mexico.No more taxpayer-supported dependents.Jobs for citizens not invading criminals and their children . #NoAmnesty #NoDACADeport ALL illegals.Arrest ALL sanctuary officials.Fire ALL pro-amnesty politicians . #BuildTheWall|{'start': [28], 'end': [28]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O
1531|#IllegalAliens deserve Deportation not representation . #BuildTheWall #DeportThemAll #NoDACA #NoAmnesty #StopMassMigration|{'start': [0, 2, 6, 7], 'end': [0, 2, 6, 7]}|B O B O O O B I O O O
1532|You are so hot but you're a bitch so that cancels out your hotness ! #WomenSuck|{'start': [7, 15], 'end': [7, 15]}|O O O O O O O B O O O O O O O B
1533|@user Just deport all these illegal aliens and their kids back to their 3rd world nation . #MAGA #BuildTheWall #NoDACA #NoAmnesty #DeportAllOfThem|{'start': [2, 5, 18, 21], 'end': [2, 6, 18, 21]}|O O B O O B I O O O O O O O O O O O B O O B
1534|she wanna be so fake nonchalant you know that nigga hurt you|{'start': [9], 'end': [9]}|O O O O O O O O O B O O
1535|We cannot even celebrate Christmas in our own country for fear of offending Muslims.|{'start': [10], 'end': [13]}|O O O O O O O O O O B I I I
1536|I've been into Muslim shops in areas of Birmingham and they have refused to serve me. I've even seen signs saying 'No Whites After 8pm'.|{'start': [3, 12, 19], 'end': [4, 15, 24]}|O O O B I O O O O O O O B I I I O O O B I I I I I
1537|#POTUS45 #Trump #Illegals 5.7 Million NON-CITIZENS #IllegalAlien MURDER #MollieTibbetts #BuildTheWall #IllegalAliens #NoDACA #DeportThemAll #DrainTheSwamp #VoterID #ICE #IllegalImmigration #AmericaFirst #MAGA #KAG #KatesWall #FundTheWall #AngelFamilies|{'start': [6, 9, 10, 12], 'end': [6, 9, 10, 12]}|O O O O O O B O O B I O B O O O O O O O O O O
1538|donald trump dolzeal is michael jordan and gays libtards and maga scott adams|{'start': [8], 'end': [8]}|O O O O O O O O B O O O O
1539|All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.|{'start': [0], 'end': [8]}|B I I I I I I I I O O O O O O O O O O O O O O O
1540|Sis she a hating ass hoe I ll slap that bitch @user|{'start': [4, 8, 10], 'end': [5, 8, 10]}|O O O O B I O O B O B O
1541|what with this racist coon nurse a murderess hang her|{'start': [3, 7, 8], 'end': [5, 7, 9]}|O O O B I I O B I I
1542|@user don't worry about it and go make me a sandwich woman . #WomenSuck|{'start': [13], 'end': [13]}|O O O O O O O O O O O O O B
1543|@user @user @user I watched & as always awesome ! It appears @user wants to bring down the Republican Party before he leaves ! #BuildTheWall #PassSAF #EndChainMigration #EndVisaLottery #EnactEVerify|{'start': [24, 27], 'end': [24, 27]}|O O O O O O O O O O O O O O O O O O O O O O O O B O O B O
1544|@user his father is the most powerful man on the planet and i doubt young barron even cares or is even aware some dyke from snl slammed him you are crying murder over a papercut|{'start': [23], 'end': [23]}|O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O O O O O
1545|shut up you dumb kike|{'start': [4], 'end': [4]}|O O O O B
1546|In Birmingham there are Muslims shops that do not serve white people after 8pm.|{'start': [4], 'end': [5]}|O O O O B I O O O O O O O O
1547|lowlife msm trying to link the guy who rammed a van into moslems in nrth londonistan to tommy robinson britain first well if it linking to anti moslem patriots with brains then about of uk are there|{'start': [0], 'end': [1]}|B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1548|put the kids in a ophanage and arrest the whore of a mother to a point of not having more biracial kids 8 kids have to suffer all their lives to due a whore|{'start': [9, 20, 33], 'end': [9, 20, 33]}|O O O O O O O O O B O O O O O O O O O O B O O O O O O O O O O O O B
1549|all my bitches gay do that make me a dyke|{'start': [6], 'end': [9]}|O O O O O O B I I I
1550|@user I don't like the sand nigger but it's entertaining like 6 knockdowns|{'start': [6], 'end': [6]}|O O O O O O B O O O O O O
1551|Sad it happens more and more they want to take ours but what do they think i want to date one of those negro women|{'start': [23, 24], 'end': [23, 24]}|O O O O O O O O O O O O O O O O O O O O O O O B I
1552|These girls are fucktards ! #MKR|{'start': [3], 'end': [5]}|O O O B I I
1553|Worldbank reports that in the next 30 years many refugees have to leave her homeland , specially in Africa . Who will feed them ? Is Europe able to shoot them down and protect her own homeland , before it will destroyed from Africans ? @user |{'start': [29], 'end': [30]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I O O O O O O O O O O O O O O O
1554|And it ai n't your daddy ' s New World Order either , more like a Jew World Order . |{'start': [16], 'end': [16]}|O O O O O O O O O O O O O O O O B O O O
1555|@user Do I have to fight another bitch ass looking cunt today ?|{'start': [7, 10], 'end': [8, 10]}|O O O O O O O B I O B O O
1556|Murderers , rapists , pedophiles among illegal aliens escaping ICE in Oakland raid thanks to Dem mayor's Twitter alert @url|{'start': [0, 2, 4, 6, 12], 'end': [0, 2, 4, 7, 12]}|B O B O B O B I O O O O B O O O O O O O
1557|i sort of understand where you are coming from but plenty of whites have sold us down the river so to speak although the jew is always in the background its very complicated will we ever find out the truth . somalians = scumalians !|{'start': [12, 24], 'end': [12, 24]}|O O O O O O O O O O O O B O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O
1558|why can not i hold all this projection i could say the same exact thing considering i gave you actual data and all you did was go no race isn t fucking real i said so go back to your oven you filthy kike|{'start': [42], 'end': [43]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I
1559|#mkr oh @user u silly silly fucking thing open ur eyes|{'start': [0, 4], 'end': [0, 7]}|B O O O B I I I O O O
1560|Where are white women allies when a black woman is called a whore ? @url|{'start': [2, 7, 12], 'end': [2, 7, 12]}|O O B O O O O B O O O O B O O
1561|@user @user Bitch stfu you was just talking shit about her stop tryna get clout fat neck hoe|{'start': [2, 8, 15], 'end': [2, 8, 17]}|O O B O O O O O B O O O O O O B I I
1562|even date or talk to a girl who is an attention whore on social media . What makes you think ima date or talk to a hoe in real life|{'start': [12, 27], 'end': [12, 27]}|O O O O O O O O O O O O B O O O O O O O O O O O O O O B O O
1563|give a nigger an inch they take a mile lol retarded creatures they fuck themselves over every time|{'start': [2, 10, 13], 'end': [2, 11, 14]}|O O B O O O O O O O B I O B I O O O
1564|The German Government Pays for 3 Week Vacation for Refugees to Go Home #MuslimImmigration No the German government isn't paying , the German taxpayers are paying ! The German government is robbing native Germans to finance the Islamization of Germany . @user |{'start': [13, 37], 'end': [13, 37]}|O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O B O O O O
1565|strong women that take no shit from garbage dudes in their mentions got the best pussy|{'start': [14], 'end': [15]}|O O O O O O O O O O O O O O B I
1566|@user god forbid black people tell white bitches about themselves|{'start': [6], 'end': [7]}|O O O O O O B I O O
1567|Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.|{'start': [11, 21], 'end': [14, 23]}|O O O O O O O O O O O B I I I O O O O O O B I I O O O O O O O O O
1568|your posts show otherwise nigger lover|{'start': [4], 'end': [4]}|O O O O B O
1569|Trynna look like a bad bitch with a side of hoe for homecoming .|{'start': [5], 'end': [5]}|O O O O O B O O O O O O O O
1570|what a nigger|{'start': [2], 'end': [2]}|O O B
1571|@user Going to take a lot more than a skank like you ! #wearethestorm|{'start': [9], 'end': [9]}|O O O O O O O O O B O O O O
1572|For international women's day I'd like to offer up my penis to any of you bitches in need of some dick|{'start': [15, 20], 'end': [15, 20]}|O O O O O O O O O O O O O O O B O O O O B
1573|@user fucking dumb ass trailer trash jewels i could count the bitches teeth from many ft away|{'start': [1, 11], 'end': [5, 11]}|O B I I I I O O O O O B O O O O O
1574|@user nigga fucking called me a faggot when i said these things to him|{'start': [1, 6], 'end': [2, 6]}|O B I O O O B O O O O O O O
1575|Let me tell yall sum ... yall barbz who fucking wit my sis @user Come talk to me bitch cause i will pull up on a hoe ...|{'start': [9, 18, 26], 'end': [9, 18, 26]}|O O O O O O O O O B O O O O O O O O B O O O O O O O B O
1576|bruh i am buying this car from this nigga and he acting weird as hell keep looking over his shoulder|{'start': [8], 'end': [8]}|O O O O O O O O B O O O O O O O O O O O
1577|maybe she thinks jesus is black too that reads as insecure spiteful nigger talk to me|{'start': [11], 'end': [12]}|O O O O O O O O O O O B I O O O
1578|@user Please insist on wall funding now ! Please do not let the speaker of the house and senate leader talk you into waiting to after the election for the funding . after the election you will be dealing with a lame duck congress . #BuildTheWall # B|{'start': [45], 'end': [45]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O
1579|We spent our time trying to get our Negroes to learn how to read .|{'start': [8], 'end': [8]}|O O O O O O O O B O O O O O O
1580|abandoned by his father makes shitty music narcissistic degenerate will probably end up bankrupt despite making millions sounds like a nigger to me|{'start': [5, 20], 'end': [5, 20]}|O O O O O B O O O O O O O O O O O O O O B O O
1581|It is time for us to take Islam for what it is. A murderous cult that should be exterminated, and that is the end of it.|{'start': [13], 'end': [18]}|O O O O O O O O O O O O O B I I I I I O O O O O O O
1582|Domestic abuse is never okay ... Unless your wife is a bitch #WomenSuck|{'start': [1, 11, 12], 'end': [1, 11, 12]}|O B O O O O O O O O O B I
1583|@user the majority of abusers are of anglo descent not many negroes are abusers it seem to be a desire of most anglos to as they say break in a child or tame them to comply white kids are more likely to be abused by someone they know|{'start': [11], 'end': [11]}|O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1584|vcu got a bunch of potential blacked stars niggers massive out there|{'start': [8], 'end': [8]}|O O O O O O O O B O O O
1585|The indians and stanis will just spit all over the street .|{'start': [1], 'end': [1]}|O B O O O O O O O O O O
1586|To the minister: you should start to contrast the terror and crisis caused by the Islamic religion! Please, stop doing nothing.|{'start': [9], 'end': [16]}|O O O O O O O O O B I I I I I I I O O O O
1587|There was another terrorist attack in France by a crazy Muslim person. His mental problem is actually called Islam!|{'start': [3, 13], 'end': [11, 18]}|O O O B I I I I I I I I O B I I I I I
1588|Come up here and say somethin now you broke , beggin , fingers in the booty ass bitch ' @user |{'start': [15], 'end': [17]}|O O O O O O O O O O O O O O O B I I O O
1589|it funny how people offended by the word nigger have no problem calling people nazis what the difference|{'start': [4, 12], 'end': [8, 17]}|O O O O B I I I I O O O B I I I I I
1590|Bitches can't keep a man for shit but got a steady ass work husband at all times|{'start': [0, 6, 10], 'end': [0, 6, 11]}|B O O O O O B O O O B I O O O O O
1591|I just want all your attention babe stop seeing these other hoes first of all bitch I am legally blind|{'start': [11, 15], 'end': [11, 15]}|O O O O O O O O O O O B O O O B O O O O
1592|@user yea I forgot I was talkin to a degenerate faggot|{'start': [10], 'end': [10]}|O O O O O O O O O O B
1593|as much as i appreciate a format of open discussion i really just want a facebook that i can say beaner on|{'start': [15], 'end': [21]}|O O O O O O O O O O O O O O O B I I I I I I
1594|same thing that happens when you allow a short haired dyke to be a sheriff in broward county florida|{'start': [10], 'end': [10]}|O O O O O O O O O O B O O O O O O O O
1595|Being a smaller country , Ireland will quicker fill up with ethnic scum . |{'start': [11], 'end': [12]}|O O O O O O O O O O O B I O
1596|#ICERaids sweeps up over 100 Illegal Aliens That Stole U.S Citizens IDS and SSN for #Jobs Illegal #immigration is NOT a Victimless Crime #Trump #MAGA #ExecutiveOrder @url|{'start': [5, 18], 'end': [6, 18]}|O O O O O B I O O O O O O O O O O O B O O O O O O O O
1597|depeche kike personal hitler remastered video|{'start': [1], 'end': [1]}|O B O O O O
1598|I do not think anyone looks up to white Negroes , just the black ones and then they become wiggers . |{'start': [9, 13, 19], 'end': [9, 13, 19]}|O O O O O O O O O B O O O B O O O O O B O
1599|sit down faggots|{'start': [2], 'end': [2]}|O O B
1600|@user We need our ARMY down there to #StopTheInvasion ! ! ! WHERE ARE THEY that is More Important than defending our national border against this constant onslaught of hostile foreign invaders ? ! ! ? ! ? ? !|{'start': [30], 'end': [31]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I O O O O O O O O
1601|has the half nigger got another lurker account|{'start': [3], 'end': [3]}|O O O B O O O O
1602|Stop sayin you have resting bitch face ... Bitch you just ugly AF|{'start': [5], 'end': [6]}|O O O O O B I O O O O O O
1603|Dems objected to the violent illegal alien deportation bill.Anyone surprised ? #MAGA #nosanctuarybrewster #BuildtheWall #NoDACA|{'start': [5, 13], 'end': [6, 13]}|O O O O O B I O O O O O O B O
1604|if he ' s a coke addict - try to find out where he gets the coke from and rat him out ... you will be a hero and can have your own party while all the nigs are behind bars|{'start': [37], 'end': [37]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O
1605|Muslim rape gangs have spread over Telford, Rotherham, Rochdale, Oxford, Newcastle, everywhere. This is disgusting!|{'start': [0], 'end': [2]}|B I I O O O O O O O O O O O O
1606|@user Wtf is that skank bitch Kate here ? ! I don't want her on my tv .|{'start': [1, 4], 'end': [1, 5]}|O B O O B I O O O O O O O O O O O O
1607|""" Hey go look at that video of the man that found the kidnapped girls in Ohio ... what a nigger "" - #shitmybosssays "|{'start': [20, 23], 'end': [20, 23]}|O O O O O O O O O O O O O O O O O O O O B O O B
1608|Illegal aliens STRANGLED DOGS on the Texas border . #BuildThatWall|{'start': [0, 9], 'end': [1, 9]}|B I O O O O O O O B
1609|spiderman thread street shitter storm fag snow flakes free speech rules all praise the chaos oops i stepped in nigger shit oh wait sorry just stormfags here|{'start': [2, 16], 'end': [6, 26]}|O O B I I I I O O O O O O O O O B I I I I I I I I I I
1610|"@user Stop Using MLK to Support Illegal Aliens Who Kill Bladks , Take Jobs From Blacks and Destroy the Black Community MLK did not Support Illegal #Immigration BLACK TRUMP SUPPORTER DROPS THE MIC , "" SANCTUARY CITIES ARE RACIST ! "" @user "|{'start': [6, 15, 19, 25], 'end': [7, 15, 19, 25]}|O O O O O O B I O O O O O O O B O O O B O O O O O B O O O O O O O O O O O O O O O O
1611|nigger lovers end up knocked up or beat up|{'start': [0], 'end': [1]}|B I O O O O O O O
1612|Shows what sub human group these negroid belong , the poor horse got an infection from the dirty pervert . |{'start': [6, 17], 'end': [6, 18]}|O O O O O O B O O O O O O O O O O B I O
1613|I want this stupid bitch out of my head I've never even liked her lmao I just basically want to rape her|{'start': [3, 20], 'end': [4, 20]}|O O O B I O O O O O O O O O O O O O O O B O
1614|after nearly 2 years this bitch came back to our home only to be hysterical . when will this bitch get hit by a raging bus ? ? ?|{'start': [5, 19], 'end': [5, 19]}|O O O O O B O O O O O O O O O O O O O B O O O O O O O O O
1615|morning faggots and men sexualsundays|{'start': [1], 'end': [1]}|O B O O O
1616|to the gallows with this sand nigger junk foodie faggot|{'start': [0, 5], 'end': [2, 9]}|B I I O O B I I I I
1617|you stupid motherfucking dick just why dont you over dribble your ass and get the fuck out of the club you fucking faggot @user|{'start': [1, 9, 13, 21], 'end': [3, 11, 19, 22]}|O B I I O O O O O B I I O B I I I I I I O B I O
1618|One of the biggest reason I never wanted to come out to my friends was bc I was afraid theyll think I have crush on them when Im just being a decent human being so I call them stupid bitch and a fucking hoe everytime I see them|{'start': [38, 42], 'end': [39, 43]}|O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I O O B I O O O O
1619|Here is a video of the event that is worth watching just to see a beautiful White lady screaming ` ` scum , scum , scum , f***ing scum ! ! ! ' ' at the muslim filth . |{'start': [21, 23, 25, 27, 36], 'end': [21, 23, 25, 28, 37]}|O O O O O O O O O O O O O O O O O O O O O B O B O B O B I O O O O O O O B I O
1620|meet the jew brainwashed nigger who brought down the nfl by trying to bring down whitey maga white genocide alt right jewish war on whites nfl kaepernick|{'start': [4, 17], 'end': [4, 18]}|O O O O B O O O O O O O O O O O O B I O O O O O O O O
1621|is it gonna be you you said they offered to let you be in playboy maybe they are not ready for a kike whose make up makes her look like a neanderthal painted up as a shemale rodeo clown @user|{'start': [22, 28], 'end': [22, 38]}|O O O O O O O O O O O O O O O O O O O O O O B O O O O O B I I I I I I I I I I O
1622|Our state will become Islamic, a home for Muslims and a prison for those who oppose it. It is the goal of the government!|{'start': [1], 'end': [16]}|O B I I I I I I I I I I I I I I I O O O O O O O
1623|@user the cunt of a retarded nigger pissed beads of shit into asshole of a jew kike|{'start': [1], 'end': [16]}|O B I I I I I I I I I I I I I I I
1624|This is when a guy says something like donâ want to date a hoe a woman responds with But you n your sister got different daddiesâ  bitch so ... still not dating a hoe lol @user|{'start': [13, 27, 32, 34], 'end': [13, 27, 32, 34]}|O O O O O O O O O O O O O B O O O O O O O O O O O O O B O O O O B O B O
